Asia,Kuwait,Auxilium,Jasmine,,Expat EOR,,,,,,,KWD 150,KWD 200,N/A,N/A,N/A,12/22/2025,AUX,Direct Entity,Signed MSA,Lawrence.Coward@auxiliumservices.com,Lawrence Coward,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1j3AhdZLbdehMNW1ih9WSwqE1oig1czH7jd-NGDPDd7Y/edit,7/15/2026,
Asia,Kuwait,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Asia,Kuwait,Horizons ,David,Backup Vendor,Expat EOR,,,,,,,USD 749,N/A,1 month,N/A,"for expatriates, VAT may apply depending on the local regulations.",,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Asia,Kuwait,Connect Resources,David,Preferred Vendor,Expat EOR,USD 600 - 700,N/A,1 month TEC,N/A,N/A,,USD 350,N/A,1 month TEC,N/A,N/A,,CNR,Uses Vendor,,"gregg.s@connectresources.ae, 
wesley.s@connectresources.ae",Gregg Steyn,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1ieOJxUzmrSXNgAfyh8SwdttIVvwbhB4fFc4OzNzt0D8/edit,6/4/2026,
Asia,Kyrgyzstan,FChain,David,Preferred Vendor,Local EOR ,(Gross salary * 10%) + (USD 150 - 250),USD 400 - 500,2 months gross salary,N/A,12% VAT on total invoice,,10% min USD 100,USD 250,2 months gross salary + service fee,N/A,12% VAT on total invoice,• Vendor provides immigration solution,FCH,Direct Entity,,eraginskaya@f-chain.com,Enn Raginskaya,"5 June, 2026",Approved,https://docs.google.com/spreadsheets/d/10iWZAp5RXBiwls81G9UZm52Z6prAZhxEf6TNGcU-xF8/edit?usp=sharing,7/1/2026,
Asia,Kyrgyzstan,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Asia,Kyrgyzstan,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Asia,Kyrgyzstan,Enterprise Workforce Solutions,David,Backup Vendor,Expat EOR,,,,,,,USD 650,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,7/15/2026,
Asia,Kyrgyzstan,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Africa,Kyrgyzstan,NH Consulting,David,Backup Vendor,Local EOR,,,,,,,USD 450 + 2% on invoice + Reimbursement Fee: 5% on costs,N/A,1 month ,N/A,N/A,,,Direct Entity,Established Contact,anna.obraz@nh-logistics.com,Anna Obraz ,"30 December, 2026",Active,https://docs.google.com/spreadsheets/d/1tMKLXxYn-nSYNrrh2MFNEQxds94ebQEgT0sl92_Ix-0/edit,6/4/2026,
Africa,Kyrgyzstan,NH Consulting,David,Backup Vendor,Expat EOR,"USD 470 - 570
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 450 + 2% on invoice + Reimbursement Fee: 5% on costs,N/A,1 month ,N/A,N/A,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Direct Entity,Established Contact,anna.obraz@nh-logistics.com,Anna Obraz ,"30 December, 2026",Active,https://docs.google.com/spreadsheets/d/1tMKLXxYn-nSYNrrh2MFNEQxds94ebQEgT0sl92_Ix-0/edit,6/4/2026,
Asia,Laos,Acclime,Jasmine,,Local EOR,,,,,,,12% min USD 200,"USD 500 the first time, and then USD 40 for every new employee onboarded",2 month,"Resignation - USD 40
Termination - USD 100",10% VAT applied to service fee only,,,Direct Entity,,h.lin@acclime.com,Hsu Yee Lin,"31 May, 2031",Active,https://docs.google.com/spreadsheets/d/1S_vSbxP4DwcQakn25RMm--JY6tDeZAxR4g4pGlMnlYE/edit,"June 4, 2026",
Asia,Laos,Acclime,Jasmine,Poor Quality Vendor,Expat EOR,,,,,,,15% min USD 500,"USD 500 the first time, and then USD 40 for every new employee onboarded",2 month,"Resignation - USD 40
Termination - USD 100",10% VAT applied to service fee only,,AYP,Direct Entity,Signed MSA,h.lin@acclime.com,Hsu Yee Lin,"31 May, 2031",Active,https://docs.google.com/spreadsheets/d/1cl92pSZ3CZdf5zEt6uPXxyzLvtRFtENWAzXKRME19lc/edit,"June 4, 2026",
Europe,Latvia,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Europe,Latvia,WorkingDay Latvia,David,Preferred Vendor,Local EOR ,EUR 340 - 440,,1 month (invoice paid in advance),N/A,N/A,,"EUR 190 - < EUR 3.5k
EUR 290 - EUR 3.5k - 6k
EUR 380 - > EUR 6k",0,1 month (invoice paid in advance),N/A,N/A,,,Direct Entity,,tomass.barilo@workingday.lv,Tomass Barilo,"30 December, 2027",Active,https://docs.google.com/spreadsheets/d/1t2RmmF_M5rOGS8C6crLLe7q4xO-lEMed5zDoBNlUCkY/edit,"June 4, 2026",
Europe,Latvia,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Europe,Latvia,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Europe,Latvia,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Latvia,Enterprise Workforce Solutions,David,Preferred Vendor,Expat EOR,USD 600 - 700,USD 0 - 500 ,1 month,N/A,N/A,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Latvia,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Europe,Latvia,Acvian,David,Backup Vendor,Local EOR ,,,,,,,"• EUR 550
• 6% on bonus and reimbursement",N/A,1 month invoice,N/A,N/A,"• Off-cycle payment out of payroll run - EUR 150.00 per transaction
• Partner can support visa sponsorship",ACV,Direct Entity,Signed MSA,a.zakharov@acvian.com,Anthony Zakharov,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1FnxuLNnvsNjtofU3yPF8sbdGZUKI7vIGO_aid6WGQCM/edit,6/4/2026,Tier 2
Asia,Lebanon,Connect Resources,David,,Local EOR ,,,,,,,USD 350,N/A,1 month TEC,N/A,11% on total invoice,,CNR,Uses Vendor,,"gregg.s@connectresources.ae, 
wesley.s@connectresources.ae",Gregg Steyn,"4 June, 2027",Active,https://docs.google.com/spreadsheets/d/1ieOJxUzmrSXNgAfyh8SwdttIVvwbhB4fFc4OzNzt0D8/edit,6/4/2026,
Asia,Lebanon,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Asia,Lebanon,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Africa,Lesotho,Workforce Africa,David,Backup Vendor,Local EOR ,,,,,,,USD 450,USD 200,N/A,USD 200,7.5% on service fee,12/22/2025,WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Lesotho,Workforce Africa,David,Backup Vendor,Expat EOR,,,,,,,case by case,USD 200,N/A,USD 200,7.5% on service fee,"• Pricing valid until December 31st, 2054",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Lesotho,Workpay,David,Preferred Vendor,Local EOR ,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Lesotho,Workpay,David,Preferred Vendor,Expat EOR,USD 470 - 570,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Lesotho,Remote Solutions Africa ,David,Backup Vendor,Local EOR ,"USD 470 - 570
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 300,N/A,N/A,N/A,7.5 % of the service fee,,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Africa,Lesotho,Remote Solutions Africa ,David,Backup Vendor,Expat EOR,"USD 520 - 620
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 350,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Uses Vendor,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Africa,Liberia,Workforce Africa,David,Backup Vendor,Local EOR ,,,,,,,USD 450,USD 200,N/A,USD 200,10% on service fee,12/22/2025,WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Liberia,Workforce Africa,David,Backup Vendor,Expat EOR,,,,,,,USD 500,USD 200,N/A,USD 200,10% on service fee,"• Pricing valid until December 31st, 2056",WFA,Uses Vendor,Signed MSA,justina.gabriel@workforcegroup.com,Justina Gabriel,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/13pdolFV6P_EBVi5xsPKvdXzW76jB60buVkpZYMEoxJk/edit,7/15/2026,
Africa,Liberia,Remote Solutions Africa,David,Backup Vendor,Local EOR ,"USD 370 - 470
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 200,N/A,N/A,N/A,7.5 % of the service fee,,RSA,Direct Entity,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Africa,Liberia,Remote Solutions Africa,David,Backup Vendor,Expat EOR,"USD 420 - 520
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,7.5 % of the service fee,,USD 250 ,N/A,N/A,N/A,7.5 % of the service fee,We don't charge deposit as long as we receive the invoice payment on the 20th of each month//Reimbursement Fee: 4% of the total reimbursement //  20 USD bank transfer fee,RSA,Direct Entity,Established Contact,moses.a@remotesolutionsafrica.com,Moses,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1-0VoGr6iIfXVV0l8SqaHo0p-ZCELZEMJiFpvK7R1zmQ/edit,7/15/2026,
Africa,Liberia,Kharis Global Group ,David,Preferred Vendor,Local EOR ,"USD 370 - 470
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,,,USD 200,N/A,N/A,,,,,Direct Entity,Established Contact,selorm@kharisglobalgroup.com,Eugene Selorm Akorli,"25 June, 2026",Vendor Responded,https://docs.google.com/spreadsheets/d/1bnCL389hf2xzwdLuTbd5E0JRdpjLqBVucpy7USIqz2I/edit,7/12/2026,
Africa,Liberia,Kharis Global Group ,David,Preferred Vendor,Expat EOR,"USD 420 - 520
Reimbursement Fee: 5% of amount",USD 0 - 400,1 month,N/A,,,USD 250,N/A,N/A,,,,,Direct Entity,Established Contact,selorm@kharisglobalgroup.com,Eugene Selorm Akorli,"25 June, 2026",Vendor Responded,https://docs.google.com/spreadsheets/d/1bnCL389hf2xzwdLuTbd5E0JRdpjLqBVucpy7USIqz2I/edit,7/12/2026,
Africa,Liberia,Workpay ,David,Backup Vendor,Local EOR ,,,,,,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Liberia,Workpay ,David,Backup Vendor,Expat EOR,,,,,,,USD 320,N/A,1 month Salary ,N/A,,,WKP,Direct Entity,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa,Liberia,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 299,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
Africa ,Libya ,Workpay,David,Preferred Vendor,Local EOR ,USD 670 - 770,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 520,N/A,1 month Salary ,N/A,,,WKP,Uses Vendor,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Africa ,Libya ,Workpay,David,Preferred Vendor,Expat EOR,USD 670 - 770,USD 0 - equivalent of service fee,1 month salary,N/A,TBC,,USD 520,N/A,1 month Salary ,N/A,,,WKP,Uses Vendor,Established Contact," fn@myworkpay.com,
 zn@myworkpay.com","Frances Nzekwue, Ziphozihle Ntlakaza","5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1w0jqjlb9vUL_Lb7NHP45wKJcnWeX_D_--e6xf_W6ypc/edit,7/15/2026,Tier 2
Europe,Lithuania,Bradford Jacobs,Jasmine,,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Europe,Lithuania,Native Teams,Jasmine,Poor Quality Vendor,Local EOR ,,,,,,,"• EUR 79 up to €1,500 processed per month
• EUR 129 up to €5,500 processed per month
• EUR 219 over €5,500 processed per month",N/A,N/A,N/A,N/A,• Provides visa sponsorship,NTV,Direct Entity,Signed MSA,deren@nteams.com,Deren Kankurt,"31 December, 2026",Pricing in Contract,,,Tier 2
Europe,Lithuania,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Europe,Lithuania,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 399,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,"July 15, 2026",
Europe,Lithuania,Enterprise Workforce Solutions,David,Backup Vendor,Local EOR ,,,,,,,USD 375,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Lithuania,Enterprise Workforce Solutions,David,Preferred Vendor,Expat EOR,USD 600 - 700,USD 0 - 500 ,1 month,N/A,N/A,,USD 450,N/A,N/A,N/A,,,"
EWS",Direct Entity,Established Contact,omar@ews-limited.com,Omar Hassan ,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/18SBM1yJ907dNTN114MJrnoU4yBfBiKkT3I8HzL4dldo/edit,"July 15, 2026",
Europe,Lithuania,WorkingDay Latvia,David,Preferred Vendor,Local EOR ,EUR 340 - 440,,1 month (invoice paid in advance),N/A,N/A,,"EUR 190 - < EUR 3.5k
EUR 290 - EUR 3.5k - 6k
EUR 380 - > EUR 6k",0,1 month (invoice paid in advance),N/A,N/A,,,Direct Entity,,tomass.barilo@workingday.lv,Tomass Barilo,"30 December, 2027",Active,https://docs.google.com/spreadsheets/d/1t2RmmF_M5rOGS8C6crLLe7q4xO-lEMed5zDoBNlUCkY/edit,"June 4, 2026",
Europe,Luxembourg,Bradford Jacobs,Jasmine,Backup Vendor,Local EOR ,,,,,,,EUR 500,EUR 500,1 month,N/A,,"• Use TopSource as vendor, but pricing is partner pricing, so will get lower quotation than from TopSource directly",BFJ,Uses Vendor,,k.nolan@bradfordjacobs.com,Kelly Nolan,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/1qcQBw7034L9B0NSXOC38XkMU1wg2eROqWYyMtiobk-M/edit,7/15/2026,
Europe,Luxembourg,Remote,David,Preferred Vendor,Local EOR ,USD 450 - 550,USD 0 - 250,1 month,"Involuntary Termination: USD 500 (termination initiated by client, not by resignation or natural contract expiration)",N/A,"• USD 200 right-to-work check mandatory for all expats (even self-sponsored)
• USD 500 immigration assessment fee for visa sponsorship feasibility check",USD 300,N/A,N/A,Involuntary Termination: USD 350,N/A,"• USD 120 right-to-work check mandatory for all expats (even self-sponsored)
• USD 400 immigration assessment fee for visa sponsorship feasibility check",RMT,Direct Entity,Signed MSA,"jasmine.chang@remote.com ,aisha.saeed@remote.com, ena.hazrolaj@remote.com","Jasmine Chang (Customer Success Manager), Aisha Saeed, Ena Hazrolaj  (Account Manager)","31 December, 2026",Pricing in Contract,,,
Europe,Luxembourg,Horizons ,David,Backup Vendor,Local EOR ,,,,,,,USD 499,N/A,1 month,N/A,N/A,,HRZ,Uses Vendor,Established Contact,echo.li@joinhorizons.com,Echo Li,"5 June, 2026",Reminder Sent,https://docs.google.com/spreadsheets/d/10bk8I5ARIdOhETpt_8e5lTYq61dqCD5HM9903xPywTM/edit,7/15/2026,
